Pais;Contaminacion_del_Aire;Satisfaccion_de_vida
Australia;6.7;7.1
Austria;12.2;7.2
Belgium;12.8;6.8
Canada;7.1;7
Czech Republic;17;6.9
Denmark;10;7.5
Finland;5.5;7.9
France;11.4;6.7
Germany;12;7.3
Greece;14.5;5.8
Hungary;16.7;6
Iceland;6.4;7.6
Ireland;7.8;7
Italy;15.9;6.5
Japan;13.7;6.1
Korea;27.3;5.8
Luxembourg;10;7.4
Mexico;20.3;6
Netherlands;12.2;7.5
New Zealand;6;7.3
Norway;6.7;7.3
Poland;22.8;6.1
Portugal;8.3;5.8
Slovak Republic;18.5;6.5
Spain;10;6.5
Sweden;5.8;7.3
Switzerland;10.1;7.5
Turkey;27.1;4.9
United Kingdom;10.1;6.8
United States;7.7;7
Brazil;11.7;6.1
Chile;23.4;6.2
Estonia;5.9;6.5
Israel;19.7;7.2
Latvia;12.7;6.2
Russia;11.8;5.5
Slovenia;17;6.5
South Africa;28.5;4.9
OECD - Total;14;6.7
Colombia;22.6;5.7
Lithuania;10.5;6.4
